code,Field title
27639,Mean thickness of G-front-middle (right hemisphere)
27418,Mean thickness of G-front-sup (left hemisphere)
27640,Mean thickness of G-front-sup (right hemisphere)
27420,Mean thickness of G-insular-short (left hemisphere)
27642,Mean thickness of G-insular-short (right hemisphere)
27423,Mean thickness of G-oc-temp-lat-fusifor (left hemisphere)
27645,Mean thickness of G-oc-temp-lat-fusifor (right hemisphere)
27424,Mean thickness of G-oc-temp-med-Lingual (left hemisphere)
27646,Mean thickness of G-oc-temp-med-Lingual (right hemisphere)
27425,Mean thickness of G-oc-temp-med-Parahip (left hemisphere)
27647,Mean thickness of G-oc-temp-med-Parahip (right hemisphere)
27421,Mean thickness of G-occipital-middle (left hemisphere)
27643,Mean thickness of G-occipital-middle (right hemisphere)
27422,Mean thickness of G-occipital-sup (left hemisphere)
27644,Mean thickness of G-occipital-sup (right hemisphere)
27426,Mean thickness of G-orbital (left hemisphere)
27648,Mean thickness of G-orbital (right hemisphere)
27427,Mean thickness of G-pariet-inf-Angular (left hemisphere)
27649,Mean thickness of G-pariet-inf-Angular (right hemisphere)
27428,Mean thickness of G-pariet-inf-Supramar (left hemisphere)
27650,Mean thickness of G-pariet-inf-Supramar (right hemisphere)
27429,Mean thickness of G-parietal-sup (left hemisphere)
27651,Mean thickness of G-parietal-sup (right hemisphere)
27430,Mean thickness of G-postcentral (left hemisphere)
27652,Mean thickness of G-postcentral (right hemisphere)
27431,Mean thickness of G-precentral (left hemisphere)
27653,Mean thickness of G-precentral (right hemisphere)
27432,Mean thickness of G-precuneus (left hemisphere)
27654,Mean thickness of G-precuneus (right hemisphere)
27433,Mean thickness of G-rectus (left hemisphere)
27655,Mean thickness of G-rectus (right hemisphere)
27434,Mean thickness of G-subcallosal (left hemisphere)
27656,Mean thickness of G-subcallosal (right hemisphere)
27435,Mean thickness of G-temp-sup-G-T-transv (left hemisphere)
27657,Mean thickness of G-temp-sup-G-T-transv (right hemisphere)
27436,Mean thickness of G-temp-sup-Lateral (left hemisphere)
27658,Mean thickness of G-temp-sup-Lateral (right hemisphere)
27437,Mean thickness of G-temp-sup-Plan-polar (left hemisphere)
